market_date,variant,action,action_idx,last_action,submit_orders,account_status,account_value,n_target_positions,n_orders_planned,n_orders_submitted,model_path,metadata_path,timestamp_utc,portfolio_value,daily_return
2026-04-28,V10_BRO_PPO_AllocationAgent,current_ew,0,,True,connected,1000000.0,1,1,1,artifacts/v10_bro_ppo_allocation_agent.zip,artifacts/v10_bro_ppo_allocation_agent_metadata.json,2026-04-29 05:04:28.795076+00:00,1000000.0,
2026-04-29,V10_BRO_PPO_AllocationAgent,current_ew,0,current_ew,True,connected,1000000.0,1,1,1,artifacts/v10_bro_ppo_allocation_agent.zip,artifacts/v10_bro_ppo_allocation_agent_metadata.json,2026-04-29 15:15:03.301131+00:00,1000000.0,0.0
2026-04-30,V10_BRO_PPO_AllocationAgent,current_ew,0,current_ew,True,connected,1010382.29,1,0,0,artifacts/v10_bro_ppo_allocation_agent.zip,artifacts/v10_bro_ppo_allocation_agent_metadata.json,2026-04-30 15:11:54.516251+00:00,1010382.29,0.010382290000000127
2026-04-30,V10_BRO_PPO_AllocationAgent,current_ew,0,current_ew,False,connected,1016308.03,1,0,0,artifacts/model_a/agent.zip,artifacts/model_a/metadata.json,2026-04-30 22:30:05.462621+00:00,1016308.03,0.005864849432386521
2026-05-01,V10_BRO_PPO_AllocationAgent,current_ew,0,current_ew,True,connected,1013271.7,1,0,0,artifacts/model_a/agent.zip,artifacts/model_a/metadata.json,2026-05-02 02:19:22.274139+00:00,1013271.7,-0.0029876079991221216
2026-05-01,V10_BRO_PPO_AllocationAgent,current_ew,0,current_ew,True,connected,1010969.97,1,0,0,artifacts/model_a/agent.zip,artifacts/model_a/metadata.json,2026-05-04 13:21:01.775904+00:00,1010969.97,-0.0022715822419593357
2026-05-01,V10_BRO_PPO_AllocationAgent,current_ew,0,current_ew,True,connected,1010969.97,1,0,0,artifacts/model_a/agent.zip,artifacts/model_a/metadata.json,2026-05-04 13:28:12.422147+00:00,1010969.97,0.0
2026-05-04,V10_BRO_PPO_AllocationAgent,current_ew,0,current_ew,True,connected,1013761.43,1,0,0,artifacts/model_a/agent.zip,artifacts/model_a/metadata.json,2026-05-05 01:04:06.748680+00:00,1013761.43,0.0027611700474150513
2026-05-04,V10_BRO_PPO_AllocationAgent,current_ew,0,current_ew,True,connected,1010725.1,1,0,0,artifacts/model_a/agent.zip,artifacts/model_a/metadata.json,2026-05-05 12:55:16.738583+00:00,1010725.1,-0.0029951129626228923
2026-05-05,V10_BRO_PPO_AllocationAgent,current_ew,0,current_ew,True,connected,1013761.43,1,0,0,artifacts/model_a/agent.zip,artifacts/model_a/metadata.json,2026-05-06 02:17:58.447477+00:00,1013761.43,0.00300411061326189
2026-05-05,V10_BRO_PPO_AllocationAgent,current_ew,0,current_ew,True,connected,1021698.99,1,0,0,artifacts/model_a/agent.zip,artifacts/model_a/metadata.json,2026-05-06 12:59:25.208875+00:00,1021698.99,0.007829810609385701
2026-05-06,V10_BRO_PPO_AllocationAgent,bil_cash,15,current_ew,True,connected,1025048.74,1,2,1,artifacts/model_a/agent.zip,artifacts/model_a/metadata.json,2026-05-06 15:16:20.996449+00:00,1025048.74,0.0032786075280353266
2026-05-06,V10_BRO_PPO_AllocationAgent,current_ew,0,bil_cash,True,connected,1013761.43,1,1,0,artifacts/model_a/agent.zip,artifacts/model_a/metadata.json,2026-05-07 00:11:54.513266+00:00,1013761.43,-0.011011486146502603
2026-05-06,V10_BRO_PPO_AllocationAgent,current_ew,0,current_ew,True,connected,1025471.96,1,1,0,artifacts/model_a/agent.zip,artifacts/model_a/metadata.json,2026-05-07 10:35:37.837323+00:00,1025471.96,0.011551563961157862
2026-05-07,V10_BRO_PPO_AllocationAgent,bil_cash,15,current_ew,True,connected,1021805.43,1,1,0,artifacts/model_a/agent.zip,artifacts/model_a/metadata.json,2026-05-07 15:18:21.561752+00:00,1021805.43,-0.0035754561246120753
