symbol,current_weight,target_weight,delta_weight,notional,side
BIL,0.9799964324210316,0.0,-0.9799964324210316,1000744.985488,sell
AMAT,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
AAPL,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
AMD,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
AMZN,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
APD,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
AVGO,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
BLK,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
CAT,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
COST,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
CSCO,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
EOG,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
GOOG,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
GOOGL,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
GS,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
INTC,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
KO,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
LIN,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
MPC,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
MS,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
NEE,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
NVDA,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
ORCL,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
PSX,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
QCOM,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
SBUX,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
SLB,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
TSLA,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
TXN,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
UNH,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
UNP,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy
